Horario,Tentativas,Status,Ultima_String,Ultimo_Hash
Thu Jan  1 13:59:43 2026,121000000,EM_ANDAMENTO,GMHv81PEJVgp,3f2e2d63
Thu Jan  1 13:59:45 2026,121500000,EM_ANDAMENTO,KAfyZcqpjFMP,ea33ea44
Thu Jan  1 13:59:47 2026,122000000,EM_ANDAMENTO,COsD58pRy8A,cafd91af
Thu Jan  1 13:59:48 2026,122500000,EM_ANDAMENTO,6F4,d3000553
Thu Jan  1 13:59:50 2026,123000000,EM_ANDAMENTO,u5MbY8,798f01e6
Thu Jan  1 13:59:51 2026,123500000,EM_ANDAMENTO,C3YEsJ,1ac16a61
Thu Jan  1 13:59:53 2026,124000000,EM_ANDAMENTO,60W04W,c068933e
Thu Jan  1 13:59:54 2026,124500000,EM_ANDAMENTO,80cq,50f68cec
Thu Jan  1 13:59:56 2026,125000000,EM_ANDAMENTO,HYQ,a6a28d9a
Thu Jan  1 13:59:57 2026,125500000,EM_ANDAMENTO,v8S81,f1606d91
Thu Jan  1 13:59:59 2026,126000000,EM_ANDAMENTO,uFoma,8ff29f5d
Thu Jan  1 14:00:01 2026,126500000,EM_ANDAMENTO,h2D3,b04e4c77
Thu Jan  1 14:00:03 2026,127000000,EM_ANDAMENTO,53eVFbMhfQg,7b117eda
Thu Jan  1 14:00:04 2026,127500000,EM_ANDAMENTO,rqxj9G6Gg,6b06b1c2
Thu Jan  1 14:00:06 2026,128000000,EM_ANDAMENTO,EbIQf,3934a7da
Thu Jan  1 14:00:07 2026,128500000,EM_ANDAMENTO,2ieVa8NJWh,4eab3a84
Thu Jan  1 14:00:09 2026,129000000,EM_ANDAMENTO,9YVBPxbxzR,9b161254
Thu Jan  1 14:00:11 2026,129500000,EM_ANDAMENTO,qYv,5daba953
Thu Jan  1 14:00:12 2026,130000000,EM_ANDAMENTO,9S0GajMc,f3f68616
Thu Jan  1 14:00:14 2026,130500000,EM_ANDAMENTO,i2rLrwT,b9788abf
Thu Jan  1 14:00:15 2026,131000000,EM_ANDAMENTO,WoDtP,b1824a59
Thu Jan  1 14:00:17 2026,131500000,EM_ANDAMENTO,nrk,1c8476f0
Thu Jan  1 14:00:18 2026,132000000,EM_ANDAMENTO,62P0m,eeb71595
Thu Jan  1 14:00:20 2026,132500000,EM_ANDAMENTO,5FDGtw,a606ff1f
Thu Jan  1 14:00:21 2026,133000000,EM_ANDAMENTO,icaP0,572f20f4
Thu Jan  1 14:00:23 2026,133500000,EM_ANDAMENTO,Zu,68f84c98
Thu Jan  1 14:00:25 2026,134000000,EM_ANDAMENTO,UIReyI,1682a0aa
Thu Jan  1 14:00:26 2026,134500000,EM_ANDAMENTO,v0aY6o17dHy,591597ab
Thu Jan  1 14:00:28 2026,135000000,EM_ANDAMENTO,C,2e9587f4
Thu Jan  1 14:00:29 2026,135500000,EM_ANDAMENTO,PLaVMtOS,2d490ef5
Thu Jan  1 14:00:31 2026,136000000,EM_ANDAMENTO,P,eab44804
Thu Jan  1 14:00:32 2026,136500000,EM_ANDAMENTO,Ql,dd8aa714
Thu Jan  1 14:00:34 2026,137000000,EM_ANDAMENTO,Fd4fu,37a0d197
Thu Jan  1 14:00:36 2026,137500000,EM_ANDAMENTO,PwFg4i222,339934f3
Thu Jan  1 14:00:37 2026,138000000,EM_ANDAMENTO,zJ57MYDOAO,3f83c86a
Thu Jan  1 14:00:39 2026,138500000,EM_ANDAMENTO,SVedb1nzRo,f9457ba2
Thu Jan  1 14:00:40 2026,139000000,EM_ANDAMENTO,Sm7CE,168bf0b7
Thu Jan  1 14:00:42 2026,139500000,EM_ANDAMENTO,ArduTa,fb1f7713
Thu Jan  1 14:00:43 2026,140000000,EM_ANDAMENTO,8L4jy,7ee78f21
Thu Jan  1 14:00:45 2026,140500000,EM_ANDAMENTO,0IHPqUuya4,cdaeb1bf
Thu Jan  1 14:00:47 2026,141000000,EM_ANDAMENTO,pYcIQIrYJ,e9a0e6a7
Thu Jan  1 14:00:48 2026,141500000,EM_ANDAMENTO,bcZGId,2a586fae
Thu Jan  1 14:00:50 2026,142000000,EM_ANDAMENTO,fBNQ4,31da74cb
Thu Jan  1 14:00:51 2026,142500000,EM_ANDAMENTO,PQUSdwMqO,e3aaea2c
Thu Jan  1 14:00:53 2026,143000000,EM_ANDAMENTO,34g4i,b1e5755b
Thu Jan  1 14:00:54 2026,143500000,EM_ANDAMENTO,ww4yccK,7c26c497
Thu Jan  1 14:00:56 2026,144000000,EM_ANDAMENTO,OID6HFsP,e0a1458b
Thu Jan  1 14:00:57 2026,144500000,EM_ANDAMENTO,pETl,10822273
Thu Jan  1 14:00:59 2026,145000000,EM_ANDAMENTO,K3M5S4SyUm,31f7046b
Thu Jan  1 14:01:00 2026,145500000,EM_ANDAMENTO,zOqv2,d6f43dd0
